"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pin_2";"pin_3";"pin_4";"pin_5";"pin_6";"linl";"txt_1";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"81";"Q_serv";"A";"approved";"170.08";"587.54";"1192.0";"871.0";"+420LD15
-Q1511";"1";"2";"3";"4";"5";"6";"==20.9400.201/159.8";"7537/2-302
25A";"68";"5";"= 420";"+ 400A";"forming line";"cleaning brush";"420M15"
"2";"82";"Q_serv";"A";"approved";"170.08";"587.54";"1192.0";"871.0";"+421LD01
-Q0111";"1";"2";"3";"4";"5";"6";"==20.9400.201/164.8";"7537/2-305
100A";"69";"7";"= 421";"+ 400A";"pre - press";"hydraulics
HP - pump";"421M1"
"3";"83";"Q_serv";"A";"approved";"170.08";"587.54";"1192.0";"871.0";"+421LD02
-Q0211";"1";"2";"3";"4";"5";"6";"==20.9400.201/167.8";"7537/2-302
25A";"70";"7";"= 421";"+ 400A";"pre - press";"hydraulics
cooling - fan";"421M2"
"4";"84";"Q_serv";"A";"approved";"170.08";"587.54";"1192.0";"871.0";"+421LD03
-Q0311";"1";"2";"3";"4";"5";"6";"==20.9400.201/168.6";"7537/2-302
25A";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"5";"85";"Q_serv";"A";"approved";"170.08";"587.54";"1192.0";"871.0";"+421LD04
-Q0411";"1";"2";"3";"4";"5";"6";"==20.9400.201/168.7";"7537/2-302
25A";"71a";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 2";"421M4"
"6";"86";"Q_serv";"A";"approved";"170.08";"587.54";"1192.0";"871.0";"+421LD05
-Q0511";"1";"2";"3";"4";"5";"6";"==20.9400.201/168.8";"7537/2-302
25A";"71b";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 3";"421M5"
"7";"88";"Q_serv";"A";"approved";"170.08";"587.54";"1192.0";"871.0";"+421LD13
-Q1311";"1";"2";"3";"4";"5";"6";"==20.9400.201/171.8";"7537/2-302
25A";"71d";"7";"= 421";"+ 400A";"pre - press";"belt adjustment
air evacuation belt";"421M13"
"8";"89";"Q_serv";"A";"approved";"170.08";"587.54";"1192.0";"871.0";"+427LD01.1
-Q01.111";"1";"2";"3";"4";"5";"6";"==20.9400.201/256.8";"7537/2-302
25A";"72";"29";"= 427";"+ 400A";"press hydraulics";"cooling and filtering pump";"427M1.1"
"9";"90";"Q_serv";"A";"approved";"170.08";"587.54";"1192.0";"871.0";"+427LD01.2
-Q01.211";"1";"2";"3";"4";"5";"6";"==20.9400.201/257.8";"7537/2-302
25A";"73";"29";"= 427";"+ 400A";"press hydraulics";"fan air cooling";"427M1.2"
"10";"92";"Q_serv";"A";"approved";"170.08";"587.54";"1192.0";"871.0";"+427LD03
-Q0311";"1";"2";"3";"4";"5";"6";"==20.9400.201/259.8";"7537/2-306
125A";"75";"29";"= 427";"+ 400A";"press";"hydraulics HP - pump";"427M3"
"11";"93";"Q_serv";"A";"approved";"170.08";"587.54";"1192.0";"871.0";"+427LD04
-Q0411";"1";"2";"3";"4";"5";"6";"==20.9400.201/227.6";"7537/2-302
25A";"76";"29";"= 427";"+ 400A";"press";"upper cleaning brush 1";"427M4"
"12";"94";"Q_serv";"A";"approved";"170.08";"587.54";"1192.0";"871.0";"+427LD05
-Q0511";"1";"2";"3";"4";"5";"6";"==20.9400.201/227.8";"7537/2-302
25A";"76a";"29";"= 427";"+ 400A";"press";"upper cleaning brush 2";"427M5"
"13";"95";"Q_serv";"A";"approved";"170.08";"587.54";"1192.0";"871.0";"+427LD08.1
-Q08.111";"1";"2";"3";"4";"5";"6";"==20.9400.201/258.8";"7537/2-302
25A";"77";"29";"= 427";"+ 400A";"press hydraulics";"washing pump";"427M8.1"
"14";"96";"Q_serv";"A";"approved";"170.08";"587.54";"1192.0";"871.0";"+427LD08.2
-Q08.211";"1";"2";"3";"4";"5";"6";"==20.9400.201/261a.8";"7537/2-302
25A";"78";"29";"= 427";"+ 400A";"press hydraulics";"stop cock 21 close";"427M8.2"
"15";"97";"Q_serv";"A";"approved";"170.08";"587.54";"1192.0";"871.0";"+427LD23
-Q2311";"1";"2";"3";"4";"5";"6";"==20.9400.201/247.8";"7537/2-302
25A";"79";"29";"= 427";"+ 400A";"press";"exhaust oil mist";"427M23"
"16";"100";"Q_serv";"A";"approved";"170.08";"587.54";"1192.0";"871.0";"+427LD28
-Q2811";"1";"2";"3";"4";"5";"6";"==20.9400.201/243.8";"7537/2-302
25A";"82";"29";"= 427";"+ 400A";"press";"pump roll rod chain belt lubrication";"427M28"
"17";"101";"Q_serv";"A";"approved";"170.08";"587.54";"1192.0";"871.0";"+427LD29
-Q2911";"1";"2";"3";"4";"5";"6";"==20.9400.201/244.8";"7537/2-302
25A";"83";"29";"= 427";"+ 400A";"press";"pump align and press lubrication of chain";"427M29"
"18";"102";"Q_serv";"A";"approved";"170.08";"587.54";"1192.0";"871.0";"+427LD30
-Q3011";"1";"2";"3";"4";"5";"6";"==20.9400.201/245.8";"7537/2-302
25A";"84";"29";"= 427";"+ 400A";"press";"belt adjustment
middle belt";"427M30"
