"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"link";"pin_1";"pin_2";"pin_3";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"82";"contact_signal_CO_2";"B";"approved";"489.69";"346.59";"1192.0";"871.0";"";"/69.5";"96";"95";"98";"69";"7";"= 421";"+ 400A";"pre - press";"hydraulics
HP - pump";"421M1"
"2";"84";"contact_signal_CO_2";"B";"approved";"523.7";"187.85";"1192.0";"871.0";"";"/71c.4";"96";"95";"98";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"3";"85";"contact_signal_CO_2";"B";"approved";"523.7";"187.85";"1192.0";"871.0";"";"/71c.4";"96";"95";"98";"71a";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 2";"421M4"
"4";"86";"contact_signal_CO_2";"B";"approved";"523.7";"187.85";"1192.0";"871.0";"";"/71c.4";"96";"95";"98";"71b";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 3";"421M5"
"5";"93";"contact_signal_CO_2";"B";"approved";"501.02";"403.29";"1192.0";"871.0";"";"/76a.7";"96";"95";"98";"76";"29";"= 427";"+ 400A";"press";"upper cleaning brush 1";"427M4"
"6";"94";"contact_signal_CO_2";"B";"approved";"501.02";"403.29";"1192.0";"871.0";"";"/76a.7";"96";"95";"98";"76a";"29";"= 427";"+ 400A";"press";"upper cleaning brush 2";"427M5"
"7";"110";"contact_signal_CO_2";"B";"approved";"569.06";"369.27";"1192.0";"871.0";"";"/90.5";"96";"95";"98";"90";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 left";"427M302"
"8";"128";"contact_signal_CO_2";"B";"approved";"637.09";"165.18";"1192.0";"871.0";"";"/100.7";"96";"95";"98";"100";"21";"= 414";"+ 400H10";"forming machine C";"pinned roll";"414M3"
"9";"130";"contact_signal_CO_2";"B";"approved";"682.44";"165.18";"1192.0";"871.0";"";"/103.8";"96";"95";"98";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"10";"130";"contact_signal_CO_2";"B";"approved";"886.54";"165.18";"1192.0";"871.0";"";"/103.8";"96";"95";"98";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"11";"132";"contact_signal_CO_2";"B";"approved";"682.44";"165.18";"1192.0";"871.0";"";"/106.8";"96";"95";"98";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"12";"132";"contact_signal_CO_2";"B";"approved";"886.54";"165.18";"1192.0";"871.0";"";"/106.8";"96";"95";"98";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"13";"139";"contact_signal_CO_2";"B";"approved";"852.52";"323.92";"1192.0";"871.0";"";"/115.1";"96";"95";"98";"114";"21";"= 414";"+ 400H10";"forming machine C";"transverse belt";"414M17"
"14";"141";"contact_signal_CO_2";"B";"approved";"444.33";"335.25";"1192.0";"871.0";"";"/116.6";"96";"95";"98";"116";"21";"= 414";"+ 400H10";"forming machine C";"fast disks rolls";"414M20"
